,escola,sexo,idade,endereco,tamanho familia,status pais,educ. mae,educ. pai,emprego mae,emprego pai,motivo escola,responsavel,tempo viagem,tempo estudo,reprovacoes,suporte escola,suporte familia,aulas pagas,atividades extra,frequentou creche,quer ensino superior,internet em casa,relacionamento,relacao familiar,tempo livre,sair com amigos,alcool dia util,alcool fim semana,saude,faltas,nota periodo 1,nota periodo 2,nota final
0,gabriel pereira,feminino,18,urbano,>3 pessoas,separados,superior,superior,do lar,professor(a),curso,mae,15 a 30 min,2 a 5h,nenhuma,sim,nao,nao,nao,sim,sim,nao,nao,boa,medio,bastante,muito baixo,muito baixo,regular,6,5,6,6
1,gabriel pereira,feminino,17,urbano,>3 pessoas,juntos,fund. i,fund. i,do lar,outro,curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,nao,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,regular,4,5,5,6
2,gabriel pereira,feminino,15,urbano,<=3 pessoas,juntos,fund. i,fund. i,do lar,outro,outro,mae,menos de 15 min,2 a 5h,3 ou mais,sim,nao,sim,nao,sim,sim,sim,nao,boa,medio,pouco,baixo,medio,regular,10,7,8,10
3,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,fund. ii,saude,servicos,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,regular,pouco,pouco,muito baixo,muito baixo,muito boa,2,15,14,15
4,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,nao,nao,boa,medio,pouco,muito baixo,baixo,muito boa,4,6,10,10
5,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,ensino medio,servicos,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,bastante,pouco,muito baixo,baixo,muito boa,10,15,15,15
6,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,muito baixo,regular,0,12,12,11
7,gabriel pereira,feminino,17,urbano,>3 pessoas,separados,superior,superior,outro,professor(a),proximidade,mae,15 a 30 min,2 a 5h,nenhuma,sim,sim,nao,nao,sim,sim,nao,nao,boa,muito pouco,bastante,muito baixo,muito baixo,muito ruim,6,6,5,6
8,gabriel pereira,masculino,15,urbano,<=3 pessoas,separados,ensino medio,fund. ii,servicos,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,pouco,pouco,muito baixo,muito baixo,muito ruim,0,16,18,19
9,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,ensino medio,superior,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,muito,muito pouco,muito baixo,muito baixo,muito boa,0,14,15,15
10,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,professor(a),saude,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,regular,medio,medio,muito baixo,baixo,ruim,0,10,8,9
11,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. ii,fund. i,servicos,outro,reputacao,pai,30 min a 1h,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,pouco,pouco,muito baixo,muito baixo,boa,4,10,12,12
12,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,superior,superior,saude,servicos,curso,pai,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,medio,medio,muito baixo,medio,muito boa,2,14,14,14
13,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,curso,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,excelente,bastante,medio,muito baixo,baixo,regular,2,10,10,11
14,gabriel pereira,masculino,15,urbano,>3 pessoas,separados,fund. ii,fund. ii,outro,outro,proximidade,outro,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,nao,sim,sim,sim,sim,boa,muito,pouco,muito baixo,muito baixo,regular,0,14,16,16
15,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,saude,outro,proximidade,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,nao,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,baixo,ruim,4,14,14,14
16,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,reputacao,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,regular,pouco,medio,muito baixo,baixo,ruim,6,13,14,14
17,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,reputacao,mae,30 min a 1h,2 a 5h,nenhuma,sim,sim,nao,sim,sim,sim,nao,nao,excelente,medio,pouco,muito baixo,muito baixo,boa,4,8,10,10
18,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,ensino medio,fund. ii,servicos,servicos,curso,mae,menos de 15 min,menos de 2h,3 ou mais,nao,sim,nao,sim,sim,sim,sim,nao,excelente,muito,muito,baixo,alto,muito boa,16,6,5,5
19,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,ensino medio,saude,outro,proximidade,pai,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,regular,muito pouco,medio,muito baixo,medio,muito boa,4,8,10,10
20,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,boa,bastante,muito pouco,muito baixo,muito baixo,muito ruim,0,13,14,15
21,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,saude,saude,outro,pai,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,excelente,bastante,pouco,muito baixo,muito baixo,muito boa,0,12,15,15
22,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,superior,fund. ii,professor(a),outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,boa,muito,muito pouco,muito baixo,medio,muito boa,2,15,15,16
23,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,bastante,bastante,baixo,alto,muito boa,0,13,13,12
24,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,fund. ii,superior,servicos,saude,curso,mae,menos de 15 min,5 a 10h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,2,10,9,8
25,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,proximidade,mae,menos de 15 min,menos de 2h,2 vezes,nao,sim,sim,nao,nao,sim,sim,nao,muito ruim,pouco,pouco,muito baixo,medio,muito boa,14,6,9,8
26,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,pouco,pouco,muito baixo,baixo,muito boa,2,12,12,11
27,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,fund. ii,saude,servicos,outro,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,nao,sim,sim,sim,nao,ruim,pouco,bastante,baixo,alto,muito ruim,4,15,16,15
28,gabriel pereira,masculino,16,urbano,<=3 pessoas,separados,ensino medio,superior,servicos,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,sim,sim,nao,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,muito boa,4,11,11,11
29,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,professor(a),professor(a),proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,boa,bastante,muito,muito alto,muito alto,muito boa,16,10,12,11
30,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,saude,servicos,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,nao,sim,sim,nao,excelente,bastante,pouco,medio,alto,muito boa,0,9,11,12
31,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,boa,medio,muito pouco,muito baixo,muito baixo,muito boa,0,17,16,17
32,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,superior,ensino medio,professor(a),do lar,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,boa,muito,pouco,muito baixo,muito baixo,muito boa,0,17,16,16
33,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,ensino medio,ensino medio,outro,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,nao,sim,sim,nao,excelente,medio,pouco,muito baixo,muito baixo,ruim,0,8,10,12
34,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,fund. ii,outro,outro,proximidade,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,nao,nao,sim,sim,nao,excelente,bastante,medio,muito baixo,muito baixo,muito boa,0,12,14,15
35,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. ii,ensino medio,outro,outro,outro,pai,15 a 30 min,menos de 2h,nenhuma,nao,sim,nao,sim,sim,sim,nao,nao,regular,muito,muito pouco,muito baixo,muito baixo,muito boa,0,8,7,6
36,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,superior,ensino medio,professor(a),servicos,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,bastante,medio,muito baixo,muito baixo,boa,2,15,16,18
37,gabriel pereira,masculino,16,rural,>3 pessoas,separados,superior,superior,outro,professor(a),reputacao,mae,15 a 30 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,ruim,bastante,medio,muito baixo,muito baixo,muito boa,7,15,16,15
38,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,ensino medio,superior,servicos,saude,curso,mae,menos de 15 min,5 a 10h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,2,12,12,11
39,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,fund. ii,fund. ii,do lar,outro,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,sim,sim,sim,sim,sim,sim,nao,nao,boa,medio,muito pouco,muito baixo,muito baixo,ruim,8,14,13,13
40,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,15 a 30 min,2 a 5h,1 vez,nao,sim,nao,sim,nao,sim,sim,sim,regular,medio,medio,muito baixo,baixo,regular,25,7,10,11
41,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,superior,superior,professor(a),outro,proximidade,outro,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,nao,nao,sim,sim,sim,excelente,bastante,medio,baixo,alto,muito boa,8,12,12,12
42,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,professor(a),curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,boa,medio,medio,muito baixo,muito baixo,muito boa,2,19,18,18
43,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,curso,pai,menos de 15 min,menos de 2h,nenhuma,sim,sim,nao,nao,sim,sim,sim,nao,excelente,bastante,muito pouco,muito baixo,muito baixo,muito ruim,0,8,8,11
44,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,do lar,curso,pai,15 a 30 min,2 a 5h,1 vez,sim,nao,nao,sim,sim,sim,sim,nao,boa,medio,medio,baixo,baixo,muito boa,14,10,10,9
45,gabriel pereira,feminino,15,urbano,<=3 pessoas,separados,superior,ensino medio,outro,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,sim,sim,sim,sim,sim,sim,sim,sim,excelente,pouco,pouco,muito baixo,muito baixo,muito boa,8,8,8,6
46,gabriel pereira,feminino,16,urbano,<=3 pessoas,separados,ensino medio,ensino medio,outro,servicos,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,sim,nao,ruim,medio,muito,muito baixo,alto,regular,12,11,12,11
47,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,ensino medio,saude,servicos,reputacao,mae,menos de 15 min,mais de 10h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,boa,pouco,pouco,muito baixo,muito baixo,ruim,4,19,19,20
48,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,fund. ii,professor(a),outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,nao,nao,boa,medio,medio,baixo,baixo,muito boa,2,15,15,14
49,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,professor(a),outro,pai,menos de 15 min,2 a 5h,1 vez,sim,sim,nao,sim,nao,sim,sim,nao,boa,bastante,bastante,muito baixo,muito baixo,regular,2,7,7,7
50,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,curso,mae,30 min a 1h,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,medio,medio,baixo,medio,boa,2,12,13,13
51,gabriel pereira,feminino,15,urbano,<=3 pessoas,juntos,superior,fund. ii,saude,outro,outro,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,medio,medio,muito baixo,muito baixo,muito boa,2,11,13,13
52,gabriel pereira,masculino,15,urbano,<=3 pessoas,separados,superior,fund. ii,saude,saude,outro,pai,15 a 30 min,menos de 2h,1 vez,nao,nao,nao,nao,sim,sim,nao,nao,excelente,muito,muito,medio,alto,muito boa,6,11,11,10
53,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,curso,mae,menos de 15 min,menos de 2h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,regular,medio,bastante,baixo,medio,muito boa,0,8,10,11
54,gabriel pereira,feminino,15,urbano,<=3 pessoas,separados,ensino medio,ensino medio,outro,outro,outro,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,nao,sim,sim,sim,nao,excelente,medio,bastante,alto,alto,muito ruim,6,10,13,13
55,gabriel pereira,feminino,16,urbano,>3 pessoas,separados,fund. ii,fund. i,outro,outro,outro,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,sim,sim,sim,sim,sim,sim,excelente,medio,bastante,muito baixo,muito baixo,ruim,8,8,9,10
56,gabriel pereira,feminino,15,urbano,>3 pessoas,separados,superior,ensino medio,servicos,servicos,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito ruim,0,14,15,15
57,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,professor(a),saude,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,nao,nao,regular,pouco,pouco,muito baixo,muito baixo,muito boa,4,14,15,15
58,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,fund. i,fund. ii,outro,do lar,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,sim,sim,nao,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,2,9,10,9
59,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,fund. ii,servicos,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,sim,nao,boa,pouco,medio,muito baixo,muito baixo,muito boa,2,15,16,16
60,gabriel pereira,feminino,16,rural,>3 pessoas,juntos,superior,superior,saude,professor(a),outro,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,nao,nao,ruim,bastante,bastante,baixo,medio,boa,6,10,11,11
61,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. i,fund. i,servicos,servicos,curso,pai,mais de 1h,menos de 2h,nenhuma,sim,sim,nao,sim,nao,sim,sim,sim,excelente,muito,muito,muito alto,muito alto,muito boa,6,10,8,11
62,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. i,fund. ii,outro,servicos,reputacao,pai,menos de 15 min,2 a 5h,nenhuma,sim,nao,nao,sim,sim,sim,sim,nao,boa,bastante,medio,muito baixo,muito baixo,muito ruim,4,8,10,9
63,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),saude,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,regular,bastante,bastante,baixo,alto,boa,2,10,9,9
64,gabriel pereira,feminino,15,urbano,<=3 pessoas,juntos,superior,ensino medio,servicos,servicos,reputacao,pai,menos de 15 min,2 a 5h,nenhuma,sim,nao,nao,sim,sim,sim,sim,sim,boa,bastante,bastante,baixo,alto,ruim,0,10,10,10
65,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,superior,ensino medio,professor(a),servicos,curso,mae,30 min a 1h,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,bastante,medio,muito baixo,baixo,muito ruim,2,16,15,15
66,gabriel pereira,masculino,15,urbano,>3 pessoas,separados,superior,superior,outro,servicos,reputacao,mae,menos de 15 min,mais de 10h,nenhuma,nao,sim,nao,sim,nao,sim,sim,sim,muito ruim,medio,medio,muito alto,muito alto,regular,4,13,13,12
67,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,fund. i,servicos,outro,curso,mae,menos de 15 min,mais de 10h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,boa,medio,medio,muito baixo,baixo,muito boa,4,7,7,6
68,gabriel pereira,feminino,15,rural,<=3 pessoas,juntos,fund. ii,fund. ii,saude,servicos,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,boa,muito pouco,medio,muito baixo,medio,boa,2,8,9,8
69,gabriel pereira,feminino,15,rural,<=3 pessoas,juntos,ensino medio,fund. i,outro,outro,reputacao,pai,15 a 30 min,mais de 10h,nenhuma,nao,sim,nao,nao,nao,sim,sim,nao,boa,bastante,pouco,baixo,medio,regular,12,16,16,16
70,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,fund. i,outro,outro,reputacao,pai,15 a 30 min,mais de 10h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,0,13,15,15
71,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,fund. ii,outro,outro,curso,mae,menos de 15 min,mais de 10h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,regular,medio,medio,muito baixo,muito baixo,regular,0,10,10,10
72,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,fund. i,fund. i,outro,outro,reputacao,mae,menos de 15 min,2 a 5h,2 vezes,sim,sim,nao,nao,nao,sim,sim,sim,regular,medio,bastante,baixo,alto,muito boa,2,8,6,5
73,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,fund. i,outro,outro,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,sim,sim,sim,nao,nao,excelente,medio,pouco,baixo,baixo,muito boa,2,12,12,14
74,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,servicos,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,boa,medio,medio,baixo,alto,muito boa,54,11,12,11
75,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,medio,medio,baixo,medio,muito boa,6,9,9,10
76,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,sem educacao,professor(a),outro,curso,mae,15 a 30 min,mais de 10h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,regular,bastante,medio,muito baixo,muito baixo,muito ruim,8,11,11,10
77,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,reputacao,mae,menos de 15 min,mais de 10h,nenhuma,nao,nao,sim,nao,sim,sim,sim,sim,excelente,pouco,medio,muito baixo,medio,regular,0,11,11,11
78,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,fund. ii,fund. i,outro,outro,proximidade,mae,15 a 30 min,menos de 2h,3 ou mais,sim,sim,nao,sim,sim,nao,sim,nao,boa,muito,muito pouco,muito baixo,muito baixo,regular,2,8,8,10
79,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,superior,do lar,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,sim,nao,ruim,bastante,medio,muito baixo,baixo,regular,12,5,5,5
80,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,fund. ii,ensino medio,outro,servicos,curso,pai,menos de 15 min,menos de 2h,nenhuma,sim,sim,sim,sim,nao,sim,sim,sim,regular,pouco,pouco,muito baixo,medio,regular,2,10,12,12
81,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,fund. ii,ensino medio,outro,outro,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,sim,nao,sim,nao,nao,sim,sim,nao,excelente,medio,pouco,muito baixo,baixo,muito boa,4,11,10,11
82,gabriel pereira,feminino,15,urbano,<=3 pessoas,juntos,ensino medio,fund. ii,servicos,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,muito baixo,muito boa,10,7,6,6
83,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,proximidade,mae,15 a 30 min,2 a 5h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,medio,boa,4,15,15,15
84,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. i,fund. i,outro,outro,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,nao,sim,sim,nao,boa,medio,pouco,baixo,medio,boa,2,9,10,10
85,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,reputacao,pai,15 a 30 min,2 a 5h,2 vezes,nao,nao,sim,nao,sim,sim,sim,sim,boa,bastante,bastante,baixo,medio,muito boa,6,7,9,8
86,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,do lar,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,nao,nao,boa,medio,bastante,muito baixo,baixo,ruim,4,8,7,6
87,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,fund. ii,outro,outro,reputacao,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,medio,muito ruim,4,13,14,14
88,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,servicos,outro,reputacao,pai,15 a 30 min,2 a 5h,1 vez,nao,nao,sim,sim,nao,sim,sim,nao,boa,bastante,pouco,muito baixo,muito baixo,regular,12,11,10,10
89,gabriel pereira,masculino,16,urbano,<=3 pessoas,separados,superior,superior,professor(a),saude,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,nao,nao,boa,muito pouco,medio,medio,muito alto,muito boa,18,8,6,7
90,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,proximidade,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,nao,sim,sim,sim,sim,boa,medio,medio,muito baixo,medio,boa,0,7,7,8
91,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,ensino medio,servicos,outro,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,boa,muito,muito,muito baixo,medio,muito ruim,4,16,17,18
92,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,ensino medio,fund. i,outro,outro,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,sim,sim,nao,nao,sim,sim,nao,nao,regular,medio,medio,baixo,medio,ruim,4,7,6,6
93,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,fund. ii,professor(a),servicos,proximidade,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,muito ruim,0,11,10,10
94,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,servicos,saude,reputacao,mae,menos de 15 min,mais de 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,boa,medio,bastante,muito baixo,muito baixo,boa,6,11,13,14
95,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,fund. i,fund. i,do lar,outro,proximidade,mae,15 a 30 min,mais de 10h,1 vez,sim,sim,sim,sim,sim,sim,sim,nao,regular,muito pouco,pouco,muito baixo,muito baixo,muito ruim,2,7,10,10
