,escola,sexo,idade,endereco,tamanho familia,status pais,educ. mae,educ. pai,emprego mae,emprego pai,motivo escola,responsavel,tempo viagem,tempo estudo,reprovacoes,suporte escola,suporte familia,aulas pagas,atividades extra,frequentou creche,quer ensino superior,internet em casa,relacionamento,relacao familiar,tempo livre,sair com amigos,alcool dia util,alcool fim semana,saude,faltas,nota periodo 1,nota periodo 2,nota final
96,gabriel pereira,masculino,16,rural,>3 pessoas,juntos,superior,ensino medio,servicos,outro,reputacao,mae,15 a 30 min,menos de 2h,nenhuma,sim,sim,nao,sim,nao,sim,sim,nao,regular,medio,medio,muito baixo,muito baixo,boa,2,11,15,15
97,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. i,outro,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,nao,sim,boa,medio,muito,muito baixo,muito baixo,muito boa,2,8,9,10
98,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,outro,outro,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,sim,nao,sim,sim,nao,excelente,medio,bastante,muito baixo,baixo,muito ruim,6,11,14,14
99,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,ensino medio,outro,do lar,curso,mae,menos de 15 min,5 a 10h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,excelente,medio,muito,muito baixo,muito baixo,regular,0,7,9,8
100,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,servicos,servicos,outro,mae,menos de 15 min,menos de 2h,nenhuma,sim,sim,sim,sim,sim,sim,sim,nao,boa,muito,muito,muito alto,muito alto,boa,14,7,7,5
101,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,servicos,professor(a),outro,pai,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,boa,bastante,medio,muito baixo,muito baixo,boa,0,16,17,17
102,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,outro,curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,sim,nao,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,muito boa,4,10,13,14
103,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,ensino medio,fund. ii,servicos,outro,proximidade,mae,15 a 30 min,2 a 5h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,boa,medio,muito,muito baixo,muito baixo,ruim,26,7,6,6
104,gabriel pereira,masculino,15,urbano,>3 pessoas,separados,ensino medio,superior,servicos,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,bastante,bastante,muito baixo,muito baixo,muito ruim,0,16,18,18
105,gabriel pereira,feminino,15,urbano,>3 pessoas,separados,ensino medio,ensino medio,outro,saude,reputacao,pai,menos de 15 min,mais de 10h,nenhuma,sim,nao,nao,nao,sim,sim,nao,nao,boa,medio,medio,muito baixo,muito baixo,boa,10,10,11,11
106,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,curso,mae,menos de 15 min,mais de 10h,nenhuma,sim,sim,sim,nao,sim,sim,sim,nao,excelente,muito pouco,pouco,muito baixo,muito baixo,regular,8,7,8,8
107,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,servicos,outro,proximidade,pai,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,muito boa,2,16,18,18
108,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,superior,superior,outro,outro,proximidade,pai,mais de 1h,mais de 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,muito ruim,medio,muito,medio,muito alto,muito ruim,6,10,13,13
109,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,superior,superior,saude,saude,outro,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,excelente,bastante,muito,muito baixo,muito baixo,boa,4,14,15,16
110,gabriel pereira,masculino,15,urbano,<=3 pessoas,separados,superior,superior,professor(a),professor(a),curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,excelente,muito,medio,muito baixo,muito baixo,boa,6,18,19,19
111,gabriel pereira,feminino,16,rural,>3 pessoas,juntos,ensino medio,ensino medio,servicos,outro,reputacao,pai,menos de 15 min,5 a 10h,1 vez,sim,sim,nao,sim,sim,sim,sim,nao,boa,muito pouco,pouco,muito baixo,muito baixo,ruim,0,7,10,10
112,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,do lar,outro,proximidade,mae,menos de 15 min,2 a 5h,1 vez,sim,nao,nao,sim,sim,sim,sim,nao,regular,muito pouco,pouco,muito baixo,muito baixo,muito boa,6,10,13,13
113,gabriel pereira,masculino,15,urbano,<=3 pessoas,juntos,superior,fund. ii,professor(a),outro,curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,regular,muito,pouco,muito baixo,muito baixo,regular,10,18,19,19
114,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,fund. ii,fund. i,saude,servicos,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,sim,sim,sim,sim,excelente,bastante,pouco,muito baixo,muito baixo,muito boa,8,9,9,9
115,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,professor(a),professor(a),curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,excelente,bastante,bastante,muito baixo,baixo,muito boa,2,15,15,16
116,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,superior,outro,professor(a),reputacao,pai,15 a 30 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,nao,nao,boa,bastante,medio,muito baixo,muito baixo,ruim,2,11,13,14
117,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,servicos,proximidade,pai,15 a 30 min,menos de 2h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,excelente,bastante,pouco,muito baixo,muito baixo,muito boa,0,13,14,13
118,gabriel pereira,masculino,17,rural,>3 pessoas,juntos,fund. i,ensino medio,outro,outro,curso,pai,30 min a 1h,2 a 5h,1 vez,nao,sim,nao,sim,sim,sim,sim,nao,excelente,pouco,bastante,muito baixo,alto,muito boa,20,9,7,8
119,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,ensino medio,superior,outro,outro,reputacao,pai,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,regular,bastante,medio,muito baixo,baixo,boa,6,14,13,13
120,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. i,fund. ii,do lar,servicos,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,nao,sim,sim,nao,regular,pouco,medio,muito baixo,baixo,muito ruim,2,16,15,15
121,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,proximidade,pai,menos de 15 min,mais de 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,excelente,muito,bastante,muito baixo,baixo,muito boa,6,16,14,15
122,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. ii,superior,outro,saude,curso,pai,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,boa,pouco,pouco,muito baixo,baixo,muito boa,2,13,13,13
123,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,saude,outro,curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,regular,bastante,bastante,muito baixo,alto,muito boa,18,14,11,13
124,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,sim,nao,sim,sim,sim,sim,excelente,bastante,bastante,muito baixo,muito baixo,muito boa,0,8,7,8
125,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,ensino medio,superior,servicos,servicos,proximidade,pai,menos de 15 min,menos de 2h,nenhuma,sim,nao,nao,nao,sim,sim,sim,nao,excelente,muito,muito,medio,baixo,muito boa,0,13,13,12
126,gabriel pereira,feminino,15,urbano,<=3 pessoas,separados,ensino medio,superior,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,sim,nao,nao,sim,sim,sim,sim,sim,excelente,medio,pouco,muito baixo,muito baixo,muito ruim,0,7,10,11
127,gabriel pereira,feminino,19,urbano,>3 pessoas,juntos,sem educacao,fund. i,do lar,outro,curso,outro,menos de 15 min,2 a 5h,3 ou mais,nao,sim,nao,nao,nao,nao,nao,nao,regular,bastante,pouco,muito baixo,muito baixo,muito boa,2,7,8,9
128,gabriel pereira,masculino,18,rural,>3 pessoas,juntos,fund. ii,fund. ii,servicos,outro,reputacao,mae,menos de 15 min,menos de 2h,2 vezes,nao,sim,nao,sim,sim,sim,sim,nao,regular,medio,medio,muito baixo,baixo,boa,0,7,4,0
129,gabriel pereira,masculino,16,rural,>3 pessoas,juntos,superior,superior,professor(a),professor(a),curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,regular,muito,muito,baixo,muito alto,boa,8,18,18,18
130,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,ensino medio,superior,servicos,professor(a),curso,pai,15 a 30 min,5 a 10h,2 vezes,nao,sim,nao,nao,sim,sim,sim,sim,boa,pouco,pouco,baixo,baixo,muito boa,0,12,0,0
131,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. i,fund. i,do lar,outro,curso,mae,30 min a 1h,menos de 2h,nenhuma,nao,sim,nao,sim,nao,sim,sim,sim,boa,medio,medio,muito baixo,baixo,boa,0,8,0,0
132,gabriel pereira,feminino,17,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,outro,outro,curso,pai,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,nao,sim,sim,sim,sim,regular,bastante,bastante,muito baixo,medio,muito boa,12,10,13,12
133,gabriel pereira,feminino,16,urbano,>3 pessoas,separados,ensino medio,superior,servicos,outro,curso,pai,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,regular,pouco,muito pouco,muito baixo,alto,muito boa,16,12,11,11
134,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,ensino medio,superior,do lar,professor(a),curso,mae,mais de 1h,2 a 5h,nenhuma,nao,sim,nao,nao,sim,sim,nao,sim,excelente,medio,medio,muito baixo,muito baixo,muito boa,0,9,0,0
135,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,servicos,do lar,curso,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,boa,medio,medio,muito baixo,muito baixo,muito boa,0,11,0,0
136,gabriel pereira,masculino,17,rural,>3 pessoas,juntos,ensino medio,superior,do lar,outro,curso,mae,30 min a 1h,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,nao,nao,excelente,bastante,muito,baixo,alto,muito boa,0,10,0,0
137,gabriel pereira,feminino,16,urbano,>3 pessoas,separados,ensino medio,ensino medio,outro,outro,curso,outro,15 a 30 min,menos de 2h,2 vezes,nao,sim,nao,sim,nao,sim,sim,sim,boa,medio,pouco,muito baixo,muito baixo,muito boa,0,4,0,0
138,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. i,fund. i,servicos,outro,curso,mae,menos de 15 min,2 a 5h,1 vez,nao,nao,nao,nao,sim,sim,nao,sim,boa,bastante,bastante,muito baixo,medio,muito boa,0,14,12,12
139,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,professor(a),professor(a),curso,mae,15 a 30 min,menos de 2h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,0,16,16,15
140,gabriel pereira,masculino,15,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),servicos,curso,pai,15 a 30 min,mais de 10h,nenhuma,sim,sim,nao,nao,sim,sim,sim,nao,ruim,pouco,pouco,muito baixo,muito baixo,regular,0,7,9,0
141,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. ii,servicos,servicos,reputacao,pai,15 a 30 min,menos de 2h,2 vezes,nao,sim,nao,sim,sim,sim,sim,nao,ruim,medio,medio,baixo,baixo,ruim,8,9,9,9
142,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,superior,superior,professor(a),servicos,curso,mae,menos de 15 min,5 a 10h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,pouco,pouco,muito baixo,muito baixo,muito boa,2,9,11,11
143,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,fund. i,fund. i,do lar,do lar,curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,regular,bastante,bastante,medio,medio,muito ruim,2,14,14,13
144,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,fund. ii,fund. i,outro,outro,proximidade,mae,menos de 15 min,menos de 2h,3 ou mais,nao,sim,nao,nao,sim,sim,sim,nao,excelente,bastante,muito,muito baixo,baixo,muito boa,0,5,0,0
145,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. i,fund. i,outro,servicos,curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,boa,bastante,pouco,muito baixo,baixo,muito boa,0,8,11,11
146,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,ensino medio,fund. ii,saude,servicos,proximidade,pai,menos de 15 min,2 a 5h,3 ou mais,nao,sim,nao,nao,sim,sim,sim,nao,regular,medio,pouco,muito baixo,muito baixo,regular,0,6,7,0
147,gabriel pereira,feminino,15,urbano,>3 pessoas,juntos,fund. i,fund. ii,do lar,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,nao,sim,sim,nao,boa,medio,pouco,muito baixo,muito baixo,muito boa,2,10,11,11
148,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,superior,professor(a),professor(a),curso,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,nao,sim,nao,sim,sim,regular,medio,pouco,baixo,muito baixo,muito boa,0,7,6,0
149,gabriel pereira,masculino,15,urbano,<=3 pessoas,separados,fund. ii,fund. i,servicos,outro,curso,mae,mais de 1h,menos de 2h,3 ou mais,nao,nao,nao,nao,sim,sim,sim,nao,boa,muito,muito,baixo,muito alto,muito boa,0,8,9,10
150,gabriel pereira,masculino,18,urbano,<=3 pessoas,juntos,fund. i,fund. i,outro,outro,curso,mae,menos de 15 min,menos de 2h,3 ou mais,nao,nao,nao,nao,sim,nao,sim,sim,ruim,medio,muito,baixo,muito alto,boa,0,6,5,0
151,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. i,do lar,outro,curso,mae,menos de 15 min,menos de 2h,1 vez,nao,nao,nao,sim,sim,sim,nao,sim,boa,bastante,bastante,medio,muito alto,muito boa,6,12,13,14
152,gabriel pereira,feminino,15,rural,>3 pessoas,juntos,ensino medio,ensino medio,servicos,servicos,reputacao,outro,15 a 30 min,5 a 10h,2 vezes,nao,sim,sim,sim,sim,sim,sim,sim,boa,pouco,muito pouco,baixo,medio,regular,8,10,10,10
153,gabriel pereira,masculino,19,urbano,>3 pessoas,juntos,ensino medio,fund. ii,servicos,do lar,proximidade,mae,menos de 15 min,menos de 2h,3 ou mais,nao,sim,nao,nao,sim,nao,sim,sim,boa,muito,bastante,muito baixo,muito baixo,boa,0,5,0,0
154,gabriel pereira,feminino,17,urbano,>3 pessoas,juntos,superior,superior,outro,professor(a),curso,mae,menos de 15 min,menos de 2h,nenhuma,sim,sim,nao,nao,sim,sim,nao,sim,boa,pouco,muito pouco,muito baixo,muito baixo,boa,0,11,11,12
155,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,fund. ii,ensino medio,do lar,servicos,curso,mae,menos de 15 min,2 a 5h,nenhuma,sim,nao,sim,sim,sim,sim,nao,nao,boa,bastante,bastante,muito baixo,muito baixo,muito ruim,2,11,8,8
156,gabriel pereira,masculino,17,rural,<=3 pessoas,juntos,fund. i,fund. ii,outro,outro,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,nao,nao,ruim,pouco,pouco,medio,medio,muito boa,8,16,12,13
157,gabriel pereira,feminino,18,rural,>3 pessoas,juntos,fund. i,fund. i,do lar,outro,curso,mae,30 min a 1h,menos de 2h,3 ou mais,nao,sim,nao,sim,nao,sim,nao,nao,excelente,pouco,muito,muito baixo,muito alto,boa,6,9,8,10
158,gabriel pereira,masculino,16,rural,>3 pessoas,juntos,fund. ii,fund. ii,do lar,outro,curso,mae,30 min a 1h,menos de 2h,nenhuma,nao,nao,nao,nao,nao,sim,nao,nao,boa,pouco,pouco,muito baixo,baixo,regular,2,17,15,15
159,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,servicos,curso,pai,menos de 15 min,2 a 5h,1 vez,nao,sim,sim,nao,sim,sim,sim,sim,boa,muito,muito,alto,alto,muito boa,4,10,12,12
160,gabriel pereira,masculino,17,rural,<=3 pessoas,juntos,fund. ii,fund. i,do lar,outro,curso,mae,15 a 30 min,menos de 2h,2 vezes,nao,nao,nao,sim,sim,nao,sim,sim,regular,medio,pouco,baixo,baixo,muito boa,0,7,6,0
161,gabriel pereira,masculino,15,rural,>3 pessoas,juntos,ensino medio,fund. ii,outro,outro,curso,mae,15 a 30 min,2 a 5h,2 vezes,sim,sim,nao,nao,sim,sim,sim,sim,boa,bastante,bastante,muito baixo,alto,regular,6,5,9,7
162,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. i,fund. ii,outro,outro,curso,mae,15 a 30 min,menos de 2h,1 vez,nao,nao,nao,sim,sim,sim,nao,nao,boa,bastante,bastante,baixo,alto,muito boa,0,7,0,0
163,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,fund. i,ensino medio,do lar,servicos,curso,pai,menos de 15 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,nao,sim,nao,excelente,medio,medio,muito baixo,alto,ruim,2,10,10,10
164,gabriel pereira,masculino,17,rural,<=3 pessoas,juntos,fund. i,fund. i,outro,servicos,curso,mae,mais de 1h,2 a 5h,3 ou mais,nao,nao,nao,sim,sim,nao,nao,sim,excelente,medio,muito,muito baixo,muito alto,muito boa,0,5,8,7
165,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,fund. ii,servicos,servicos,curso,mae,15 a 30 min,menos de 2h,1 vez,nao,sim,nao,sim,nao,nao,nao,nao,boa,muito,pouco,muito baixo,muito baixo,ruim,16,12,11,12
166,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,curso,pai,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,nao,sim,nao,boa,medio,muito,baixo,alto,boa,4,10,10,10
167,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,fund. ii,saude,servicos,proximidade,pai,menos de 15 min,2 a 5h,nenhuma,nao,nao,sim,nao,sim,sim,sim,sim,boa,pouco,medio,muito baixo,muito baixo,regular,0,14,15,16
168,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,outro,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,nao,sim,sim,nao,excelente,muito pouco,muito,muito baixo,muito baixo,boa,0,6,7,0
169,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,superior,superior,saude,saude,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,sim,boa,bastante,pouco,muito baixo,muito baixo,regular,0,14,14,14
170,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,superior,outro,outro,curso,pai,30 min a 1h,menos de 2h,2 vezes,nao,sim,nao,sim,nao,sim,sim,nao,regular,bastante,muito,baixo,alto,ruim,0,6,5,0
171,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,fund. i,sem educacao,outro,outro,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,boa,medio,pouco,muito baixo,muito baixo,regular,2,13,15,16
172,gabriel pereira,masculino,17,urbano,<=3 pessoas,juntos,superior,superior,professor(a),outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,bastante,bastante,muito baixo,medio,muito boa,0,13,11,10
173,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. i,ensino medio,do lar,servicos,proximidade,mae,menos de 15 min,2 a 5h,3 ou mais,nao,nao,nao,sim,nao,sim,sim,sim,boa,medio,muito,muito baixo,muito baixo,regular,0,8,7,0
174,gabriel pereira,feminino,16,urbano,<=3 pessoas,juntos,ensino medio,ensino medio,outro,outro,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,boa,bastante,muito,muito baixo,muito baixo,boa,4,10,11,9
175,gabriel pereira,masculino,17,urbano,<=3 pessoas,juntos,superior,ensino medio,professor(a),outro,curso,mae,15 a 30 min,2 a 5h,nenhuma,nao,nao,sim,sim,sim,sim,sim,nao,boa,bastante,bastante,alto,alto,boa,4,10,9,9
176,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,fund. ii,servicos,outro,reputacao,mae,15 a 30 min,2 a 5h,nenhuma,nao,nao,sim,sim,nao,sim,sim,nao,regular,bastante,bastante,muito baixo,alto,muito boa,2,13,13,11
177,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,ensino medio,ensino medio,outro,outro,reputacao,pai,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,nao,sim,sim,nao,boa,medio,bastante,muito baixo,alto,boa,4,6,5,6
178,gabriel pereira,masculino,16,rural,>3 pessoas,juntos,superior,fund. ii,professor(a),servicos,outro,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,boa,medio,medio,medio,alto,regular,10,10,8,9
179,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,superior,ensino medio,outro,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,excelente,pouco,medio,muito baixo,muito baixo,ruim,4,10,10,11
180,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,superior,ensino medio,professor(a),outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,sim,sim,sim,sim,nao,regular,bastante,medio,baixo,medio,regular,10,9,8,8
181,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,ensino medio,ensino medio,servicos,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,sim,sim,sim,sim,sim,sim,boa,pouco,medio,muito baixo,baixo,regular,2,12,13,12
182,gabriel pereira,feminino,17,urbano,>3 pessoas,juntos,fund. ii,superior,servicos,servicos,reputacao,pai,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,nao,nao,excelente,bastante,pouco,baixo,medio,muito boa,0,16,17,17
183,gabriel pereira,feminino,17,urbano,<=3 pessoas,juntos,ensino medio,ensino medio,outro,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,excelente,medio,medio,baixo,medio,muito ruim,56,9,9,8
184,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,ensino medio,fund. ii,outro,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,sim,nao,sim,sim,sim,nao,muito ruim,pouco,pouco,muito baixo,baixo,muito ruim,14,12,13,12
185,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,ensino medio,ensino medio,servicos,servicos,outro,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,sim,sim,sim,sim,sim,boa,medio,bastante,baixo,medio,boa,12,12,12,11
186,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,fund. i,fund. ii,servicos,servicos,outro,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,sim,sim,sim,sim,sim,sim,regular,medio,medio,muito baixo,baixo,regular,2,11,12,11
187,gabriel pereira,masculino,16,urbano,<=3 pessoas,juntos,fund. ii,fund. i,outro,outro,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,sim,sim,sim,sim,sim,sim,boa,pouco,medio,muito baixo,baixo,muito boa,0,15,15,15
188,gabriel pereira,feminino,17,urbano,>3 pessoas,separados,ensino medio,ensino medio,saude,outro,reputacao,mae,menos de 15 min,2 a 5h,nenhuma,nao,sim,nao,nao,nao,sim,sim,sim,regular,medio,medio,muito baixo,medio,regular,6,8,7,9
189,gabriel pereira,masculino,17,rural,>3 pessoas,juntos,fund. i,fund. ii,do lar,outro,proximidade,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,nao,nao,regular,muito pouco,medio,muito baixo,muito alto,regular,4,8,9,10
190,gabriel pereira,feminino,16,urbano,>3 pessoas,juntos,fund. ii,ensino medio,servicos,servicos,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,boa,medio,medio,muito baixo,muito baixo,ruim,10,11,12,13
191,gabriel pereira,feminino,17,urbano,>3 pessoas,juntos,fund. i,fund. i,do lar,servicos,curso,mae,menos de 15 min,2 a 5h,nenhuma,nao,nao,nao,sim,sim,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,regular,0,8,8,9
192,gabriel pereira,masculino,17,urbano,>3 pessoas,juntos,fund. i,fund. ii,do lar,servicos,outro,outro,15 a 30 min,2 a 5h,nenhuma,nao,nao,sim,sim,nao,sim,sim,nao,boa,bastante,bastante,alto,muito alto,muito boa,12,7,8,8
193,gabriel pereira,masculino,16,rural,>3 pessoas,juntos,ensino medio,ensino medio,servicos,servicos,reputacao,mae,menos de 15 min,menos de 2h,nenhuma,nao,sim,nao,sim,sim,sim,sim,nao,boa,medio,pouco,medio,alto,muito boa,8,8,9,10
194,gabriel pereira,masculino,16,urbano,>3 pessoas,juntos,fund. ii,ensino medio,outro,outro,proximidade,pai,15 a 30 min,menos de 2h,nenhuma,nao,nao,nao,nao,sim,sim,sim,nao,excelente,medio,medio,muito baixo,muito baixo,regular,0,13,14,14
